Channel V71,Channel K20,Channel BF,Name,Frequency,Offset,Tone,Call,Location,ST/PR,VOIP,DGTL,Mi,Dir,Tone Type,Mode,Lockout,Frequency Duplicates,Prox To
467,,,W7TWA2,441.5,+5 MHz,100.0,W7TWA,"Bremerton, Gold Mountain",WA,,,35.7,N,,,,1,
468,,,WW7RA2,442.65,+5 MHz,103.5,WW7RA,"Bremerton, Gold Mountain",WA,,,35.7,N,,,,2,
469,,,WO7O,443.425,+5 MHz,103.5,WO7O,"Quilcene, Hood Canal",WA,,,36.65,N,,,,1,
470,,,K7OET2,442.25,+5 MHz,123.0,K7OET,Bremerton,WA,,,38.25,NNE,,,,2,
471,,,K7OET3,444.8,+5 MHz,100.0,K7OET,Bremerton,WA,,,38.57,NNE,,,,3,
472,,,AA7SS,441.175,+5 MHz,123.0,AA7SS,Bremerton,WA,,,38.68,NNE,,,,1,
473,,,W7PSE5,441.75,+5 MHz,103.5,W7PSE,"Bremerton, Green Mountain",WA,,,38.68,NNE,,,,1,
474,,,WA7ST,443.1,+5 MHz,103.5,WA7ST,"Seatac, SeaTac Airport",WA,,,40.54,NE,,,,1,
475,,,K7LD,440.2,+5 MHz,103.5,K7LD,Bainbridge Island,WA,,,41.13,NNE,,,,3,
476,,,W7ACS,443.2,+5 MHz,141.3,W7ACS,"Seattle, Westcrest Park",WA,,,42.41,NE,,,,2,
477,,,K7RFH,443.35,+5 MHz,103.5,K7RFH,"Kent, Emerald Park Elementary School",WA,W,Y,42.44,NE,,,,2,
478,,,W7AW 2,441.8,+5 MHz,141.3,W7AW,"Seattle, Southwest Myrtle Street Reservoir",WA,EI,,42.5,NE,,,,1,
479,,,N7MTC,443.05,+5 MHz,179.9,N7MTC,Bremerton,WA,EIA,Y,43.14,NNE,,,,1,
480,,,KC7IGT,441.45,+5 MHz,123.0,KC7IGT,Renton,WA,,,44.2,NE,,,,1,
481,,,K7FDF,443.6,+5 MHz,103.5,K7FDF,Renton,WA,,,44.43,NE,,,,1,
482,,,WB7DO4,441.375,+5 MHz,173.8,WB7DOB,"Renton, Lake Youngs",WA,,,44.63,NE,,,,1,
483,,,W7SRZ2,443.55,+5 MHz,103.5,W7SRZ,"Seattle, Beacon Hill",WA,,,45.34,NE,,,,2,
484,,,W7NPC,444.475,+5 MHz,103.5,W7NPC,Bainbridge Island,WA,,,45.78,NNE,,,,2,
485,,,KA7DNK,443.825,+5 MHz,103.5,KA7DNK,Raymond,WA,,,46.2,WSW,,,,1,
486,,,WW7SEA,444.55,+5 MHz,141.3,WW7SEA,"Seattle, Columbia Center",WA,EI,,47.4,NE,,,,2,
487,,,K7SLB,440.1,+5 MHz,110.9,K7SLB,Seattle,WA,,,47.46,NE,,,,2,
488,,,K7SPG,444,+5 MHz,103.5,K7SPG,Seattle,WA,I,,47.46,NE,,,,1,
489,,,KC7LFW,444.225,+5 MHz,123.0,KC7LFW,Seattle,WA,,,47.46,NE,,,,2,
490,,,W7ACS2,443,+5 MHz,156.7,W7ACS,Seattle,WA,,,47.46,NE,,,,1,
491,,,W7ACS3,443.475,+5 MHz,141.3,W7ACS,Seattle,WA,,,47.46,NE,,,,2,
492,,,WA7LZO,442.9,+5 MHz,103.5,WA7LZO,Seattle,WA,,Y,47.46,NE,,,,1,
493,,,W7SEA2,444.7,+5 MHz,103.5,WW7SEA,"Seattle, Queen Anne Hill",WA,EI,,48.37,NNE,,,,1,
494,,,W7SEA3,444.425,+5 MHz,141.3,WW7SEA,"Seattle, KOMO TV Tower",WA,,Y,48.38,NNE,,,,2,
495,,,W7MIR2,440.15,+5 MHz,103.5,W7MIR,Mercer Island,WA,,,48.57,NE,,,,2,
496,,,AJ7JA,444.375,+5 MHz,88.5,AJ7JA,"Seattle, Capitol Hill",WA,EI,,48.62,NE,,,,1,
497,,,W2ZT,442.5,+5 MHz,123.0,W2ZT,"Quilcene, Buck Mountain",WA,,,49.44,N,,,,1,
498,,,W7LOR,441.275,+5 MHz,123.0,W7LOR,Poulsbo,WA,,,49.67,NNE,,,,1,
499,,,WA6PMX,442.2,+5 MHz,103.5,WA6PMX,Poulsbo,WA,,,49.67,NNE,,,,1,
,,101,FRS1,462.5625,,,,,,,,,,,NFM,,1,
,,102,FRS2,462.5875,,,,,,,,,,,NFM,,1,
,,103,FRS3,462.6125,,,,,,,,,,,NFM,,1,
,,104,FRS4,462.6375,,,,,,,,,,,NFM,,1,
,,105,FRS5,462.6625,,,,,,,,,,,NFM,,1,
,,106,FRS6,462.6875,,,,,,,,,,,NFM,,1,
,,107,FRS7,462.7125,,,,,,,,,,,NFM,,1,
,,108,FRS8,467.5625,,,,,,,,,,,NFM,,1,
,,109,FRS9,467.5875,,,,,,,,,,,NFM,,1,
,,110,FRS10,467.6125,,,,,,,,,,,NFM,,1,
,,111,FRS11,467.6375,,,,,,,,,,,NFM,,1,
,,112,FRS12,467.6625,,,,,,,,,,,NFM,,1,
,,113,FRS13,467.6875,,,,,,,,,,,NFM,,1,
,,114,FRS14,467.7125,,,,,,,,,,,NFM,,1,
,,115,GMRS1,462.55,,,,,,,,,,,,,2,
,,116,GMRS2,462.575,,,,,,,,,,,,,2,
,,117,GMRS3,462.6,,,,,,,,,,,,,2,
,,118,GMRS4,462.625,,,,,,,,,,,,,2,
,,119,GMRS5,462.65,,,,,,,,,,,,,1,
,,120,GMRS6,462.675,,,,,,,,,,,,,1,
,,121,GMRS7,462.7,,,,,,,,,,,,,1,
,,122,GMRS8,462.725,,,,,,,,,,,,,1,
,,123,GM136 1,462.55,,136.5,,GMRS 1 with CT 136.5,,,,,,CT,,,2,
,,124,GM136 2,462.575,,136.5,,GMRS 2 with CT 136.5,,,,,,CT,,,2,
,,125,GM136 3,462.6,,136.5,,GMRS 3 with CT 136.5,,,,,,CT,,,2,
,,126,GM136 4,462.625,,136.5,,GMRS 4 with CT 136.5,,,,,,CT,,,2,
970,170,99,APRS R,144.39,,,,,,,,,,,,Y,3,
971,171,,APRS V,144.39,,100,,,,,,,,CT,,,3,
972,172,,APRS M,144.39,,118.8,,,,,,,,CT,,,3,
